年,季,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師,核閱或查核日期,核閱或查核報告類型
2005,2,1724,台硝,資誠會計師事務所,蕭金木,薛守宏,94-08-20,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1725,元禎,勤業眾信會計師事務所,仲  偉,涂三遷,94-08-09,修正式無保留意見--採用其他會計師查核且欲區分責任
2005,2,1726,永記,集智會計師事務所,蔡靜雯,陳文達,94-08-04,修正式無保留意見--會計原則變動
2005,2,1727,中華化,致遠聯合會計師事務所,楊文安,黃素珍,94-08-02,無保留意見
2005,2,1730,花仙子,鼎信聯合會計師事務所,黃志成,單思達,94-07-21,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1731,美吾華,廣信益群 聯 合 會 計 師 事 務 所,郭錦蓉,蘇真愛,94-08-16,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1732,毛寶,致遠會計師事務所,何志儒,阮呂艷,94-08-19,無保留意見
2005,2,1733,五鼎,勤 業 眾 信 會 計 師 事 務 所,林鴻鵬,黃鴻文,94-07-29,無保留意見
2005,2,1734,杏輝,鼎信聯 合 會 計 師 事 務 所,單思達,黃志成,94-08-04,修正式無保留意見--欲強調某一事項
2005,2,1735,日勝化,立本台灣 聯 合 會 計 師 事 務 所,張益順,曾炳霖,97-07-22,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1736,喬山,致 遠 會 計 師 事 務 所,林鴻光,游朝堂,94-08-13,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1737,臺鹽,勤業眾信會計師事務所,王茂霖,李季珍,94-08-05,無保留意見
2005,2,1760,寶齡富錦,安侯建業會計師事務所,"呂莉莉 (YYY代表會計�/td>許育峰 (YYY代表會計�/td>94/08/25
無保留意見","許育峰 (YYY代表會計�/td>94/08/25
無保留意見",94-08-25,無保留意見
2005,2,1762,中化生,群 信 聯 合 會 計 師 事 務 所,謝文益,李仍晃,94-08-19,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1773,勝一,建 興 聯 合 會 計 師 事 務 所,蘇炳章,蔡淑滿,94-08-23,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1776,展宇,勤 業 眾 信 會 計 師 事 務 所,林鴻鵬,黃樹傑,94-08-12,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1783,和康生,勤業眾信會計師事務所,王自軍,徐文亞,94-08-01,無保留意見
2005,2,1786,科妍,資誠會計師事務所,林億彰,王國華,94-08-30,修正式無保留意見--會計原則變動
2005,2,1795,美時,資誠會 計 師 事 務 所,曾惠瑾,葉冠妏,94-08-17,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1802,台玻,致遠會計師事務所,鄧泗堂,陳慕賢,94-08-24,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1805,寶徠,資信聯合 會 計 師 事 務 所,陳榮華,姜言馨,94-08-29,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1806,冠軍,安侯建業會計師事務所,林瞳,曾國禓,94-08-23,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1808,潤隆,安侯建業會計師事務所,林  瞳,陳嘉修,94-08-22,修正式無保留意見--欲強調某一事項
2005,2,1809,中釉,致 遠 會 計 師 事 務 所,"楊文安 (YYY代表會計�/td>佟韻玲 (YYY代表會計�/td>94/08/04
保留意見--依被投資公司未經會計師查核報告認列投資損益","佟韻玲 (YYY代表會計�/td>94/08/04
保留意見--依被投資公司未經會計師查核報告認列投資損益",94-08-04,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1810,和成,安侯建業 會 計 師 事 務 所,許淑敏,江忠儀,94-08-19,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1902,台紙,勤業眾信會計師事務所,蔡振財,張清福,94-08-17,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1903,士紙,惠眾會計師事務所,盧聯生,洪佑伶,94-08-15,無保留意見
2005,2,1904,正隆,安侯建業會計師事務所,顏幸福,吳美萍,94-07-25,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1905,華紙,安 侯 建 業 會 計 師 事 務 所,黃柏淑會計師,羅子強會計師,94-07-20,無保留意見
2005,2,1906,寶隆,立本台灣聯合會計師事務所,曾炳霖,陶鴻文,94-07-08,修正式無保留意見--會計原則變動
2005,2,1907,永豐餘,勤業眾信會計師事務所,郭政弘,邵志明,94-08-05,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1909,榮成,立本台灣聯合會計師事務所,陶鴻文,柯俊輝,94-08-01,修正式無保留意見--會計原則變動
2005,2,2002,中鋼,勤業眾信會計師事務所,龔俊吉,魏永篤,94-07-25,無保留意見
